availibility,brand,discount,memory_size,num_ratings,os,price,price_without_discount,screen_resolution,screen_size,star_rating,title
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Ios,-30%,"LTE and UMTS,Wi-Fi 802.11b/g/n 2.4GHz and 5Ghz, Bluetooth 5.3",305 ratings,GPS,"62,990"," M.R.P.: ₹89,900.00 ",Lithium Ion,802.11bgn, 4.5 ,"        Apple Watch Ultra [GPS + Cellular 49 mm] smart watch w/Rugged Titanium Case & Black/Grey Trail Loop - M/L Fitness Tracker, Precision GPS, Action Button, Extra-Long BatteryLife, Brighter Retina Display       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Ios,-30%,"LTE and UMTS,Wi-Fi 802.11b/g/n 2.4GHz and 5Ghz, Bluetooth 5.3",305 ratings,GPS,"62,990"," M.R.P.: ₹89,900.00 ",Lithium Ion,802.11bgn, 4.5 ,"        Apple Watch Ultra [GPS + Cellular 49 mm] smart watch w/Rugged Titanium Case & Black/Grey Trail Loop - M/L Fitness Tracker, Precision GPS, Action Button, Extra-Long BatteryLife, Brighter Retina Display       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Ios,-30%,"LTE and UMTS,Wi-Fi 802.11b/g/n 2.4GHz and 5Ghz, Bluetooth 5.3",305 ratings,GPS,"62,990"," M.R.P.: ₹89,900.00 ",Lithium Ion,802.11bgn, 4.5 ,"        Apple Watch Ultra [GPS + Cellular 49 mm] smart watch w/Rugged Titanium Case & Black/Grey Trail Loop - M/L Fitness Tracker, Precision GPS, Action Button, Extra-Long BatteryLife, Brighter Retina Display       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Ios,-30%,"LTE and UMTS,Wi-Fi 802.11b/g/n 2.4GHz and 5Ghz, Bluetooth 5.3",305 ratings,GPS,"62,990"," M.R.P.: ₹89,900.00 ",Lithium Ion,802.11bgn, 4.5 ,"        Apple Watch Ultra [GPS + Cellular 49 mm] smart watch w/Rugged Titanium Case & Black/Grey Trail Loop - M/L Fitness Tracker, Precision GPS, Action Button, Extra-Long BatteryLife, Brighter Retina Display       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Ios,-30%,"LTE and UMTS,Wi-Fi 802.11b/g/n 2.4GHz and 5Ghz, Bluetooth 5.3",305 ratings,GPS,"62,990"," M.R.P.: ₹89,900.00 ",Lithium Ion,802.11bgn, 4.5 ,"        Apple Watch Ultra [GPS + Cellular 49 mm] smart watch w/Rugged Titanium Case & Black/Grey Trail Loop - M/L Fitness Tracker, Precision GPS, Action Button, Extra-Long BatteryLife, Brighter Retina Display       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Ios,-30%,"LTE and UMTS,Wi-Fi 802.11b/g/n 2.4GHz and 5Ghz, Bluetooth 5.3",305 ratings,GPS,"62,990"," M.R.P.: ₹89,900.00 ",Lithium Ion,802.11bgn, 4.5 ,"        Apple Watch Ultra [GPS + Cellular 49 mm] smart watch w/Rugged Titanium Case & Black/Grey Trail Loop - M/L Fitness Tracker, Precision GPS, Action Button, Extra-Long BatteryLife, Brighter Retina Display       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
